Cell,Type,Axis,Mean (Offset),Std (Noise),Threshold (3xStd)
06,Force,Y,-0.02728068027322854,0.005232444967518346,0.015697334902555038
06,Force,Z,0.0041938110443584895,0.00264642497429327,0.00793927492287981
07,Raw,X,32827.57007653691,1.9956556097059666,5.9869668291178995
07,Raw,Y,32861.82977532713,2.8274781122957204,8.482434336887161
07,Raw,Z,37111.40378569665,2.313029789271617,6.9390893678148515
07,Force,X,-0.011266596987902232,0.0032277948993623285,0.009683384698086986
07,Force,Y,-0.015362711217183772,0.004955629748912924,0.014866889246738773
07,Force,Z,0.006938842728993498,0.0022701697314134453,0.006810509194240336
08,Raw,X,32133.329520204097,2.142219950634121,6.426659851902363
08,Raw,Y,32826.826006090036,2.4296027052194202,7.288808115658261
08,Raw,Z,37317.36102378405,2.6214479698906765,7.86434390967203
08,Force,X,-0.0007694053164348615,0.0030881638586455085,0.009264491575936526
08,Force,Y,-0.022249664060571148,0.004384204884601671,0.013152614653805012
08,Force,Z,0.01934980429594272,0.0031822548385067777,0.009546764515520334
09,Raw,X,33336.264274545305,2.3945847180763735,7.183754154229121
09,Raw,Y,32770.4325899103,2.566822054056716,7.700466162170148
09,Raw,Z,37429.269047814996,2.262954841853963,6.788864525561889
09,Force,X,-0.03303228030614764,0.004675259555551969,0.014025778666655907
09,Force,Y,-0.032989111184264674,0.005920473840377317,0.01776142152113195
09,Force,Z,0.01573216525388857,0.002509534372622553,0.007528603117867658
10,Raw,X,32947.383013743725,2.1310542771356635,6.393162831406991
10,Raw,Y,32640.2,2.087362040709212,6.262086122127636
10,Raw,Z,36885.754851452555,2.096133458245118,6.288400374735353
10,Force,X,-0.009888691794913999,0.0036785832943953237,0.011035749883185971
10,Force,Y,-0.013323349353962637,0.0036198853733360376,0.010859656120008113
10,Force,Z,0.02064939000905275,0.0021035803117893607,0.006310740935368082
11,Raw,X,32757.091630318493,2.0757974130882015,6.227392239264605
11,Raw,Y,32803.28850300387,2.250925621390148,6.7527768641704435
11,Raw,Z,37064.144597152495,2.5276967183721344,7.583090155116404
11,Force,X,-0.011875805448111267,0.003435042432945838,0.010305127298837514
11,Force,Y,-0.02852300732450004,0.004034399870724154,0.012103199612172464
11,Force,Z,0.015239296025018516,0.002848699731384128,0.008546099194152383
12,Raw,X,32211.249905357585,2.309847335422349,6.929542006267047
12,Raw,Y,32825.71597399391,2.477214382542322,7.431643147626966
12,Raw,Z,37516.576578059416,2.2365249115793278,6.709574734737983
12,Force,X,-0.006124308781170273,0.0035327320464904016,0.010598196139471204
12,Force,Y,-0.024064514854744465,0.0048960977982522086,0.014688293394756625
12,Force,Z,0.02313613661427043,0.0030842656263552946,0.009252796879065883
13,Raw,X,33179.623323183274,1.9389826236167922,5.816947870850377
13,Raw,Y,32233.268603407127,2.5197391899535426,7.559217569860628
13,Raw,Z,37148.348744959265,2.5534822712123004,7.660446813636901
13,Force,X,-0.017429997037280882,0.0028369543508354237,0.00851086305250627
13,Force,Y,-0.016659132087893998,0.003659511382250855,0.010978534146752565
13,Force,Z,0.010259308863468028,0.0026782495562129743,0.008034748668638923
14,Raw,X,32860.938293144594,2.2316530274749975,6.694959082424992
14,Raw,Y,32581.685507365648,3.074471699157987,9.22341509747396
14,Raw,Z,37190.090033742075,2.547302178961265,7.641906536883795
14,Force,X,-0.0220167270183524,0.0045696038208579365,0.01370881146257381
14,Force,Y,-0.027880939181960336,0.004499456950936202,0.013498370852808606
14,Force,Z,0.01167586387951609,0.0029114969523432207,0.008734490857029662
15,Raw,X,32810.032227800184,2.4724084604754357,7.417225381426308
15,Raw,Y,32457.939527610895,4.148492611498662,12.445477834495987
15,Raw,Z,37446.979030532464,2.47734166428801,7.432024992864029
15,Force,X,-0.008532327874249034,0.005206787943702579,0.015620363831107736
15,Force,Y,-0.02346482412970126,0.005920357741642992,0.017761073224928977
15,Force,Z,0.006554095136202781,0.002741313624355751,0.008223940873067253
16,Raw,X,32301.885128795984,2.4775965563133826,7.432789668940147
16,Raw,Y,32423.801975146078,2.8189111344902247,8.456733403470674
16,Raw,Z,37666.08583655666,2.532019967995251,7.596059903985753
16,Force,X,-0.003592044769977779,0.0039014355622416555,0.011704306686724966
16,Force,Y,-0.019502697884947743,0.00402017807010644,0.012060534210319319
16,Force,Z,0.009713598057773025,0.0028691720749256283,0.008607516224776885
GLOBAL,Raw,X,32786.819783351166,2.2222638999404447,6.666791699821334
GLOBAL,Raw,Y,32812.38200148136,2.806233189209404,8.418699567628211
GLOBAL,Raw,Z,37364.989753929716,2.424631813028965,7.273895439086894
