Cell,Type,Axis,Mean,Std (Noise),Threshold (3xStd)
12,Raw,X,32214.039818855497,2.239900659306832,6.719701977920495
12,Raw,Y,32837.04948538493,2.009472563101301,6.028417689303902
12,Raw,Z,37509.39761218608,2.175205106323953,6.525615318971859
12,Force,X,-0.0018623382461918484,0.0034543275201170177,0.010362982560351054
12,Force,Y,-0.0006243283655825442,0.004006732354262214,0.012020197062786642
12,Force,Z,0.006997032194318651,0.0031095610581998996,0.009328683174599698
13,Raw,X,33186.87525730753,1.6824128638182463,5.047238591454739
13,Raw,Y,32243.741803211196,1.9071332358221562,5.721399707466468
13,Raw,Z,37129.94834088102,2.1215568917846075,6.364670675353823
13,Force,X,-0.007690417949773569,0.0024704591231800715,0.007411377369540215
13,Force,Y,0.00028331988472622477,0.002758850453522298,0.008276551360566894
13,Force,Z,-0.006613683161794976,0.0022461627505672827,0.006738488251701848
14,Raw,X,32866.91459860025,2.089513799775747,6.268541399327241
14,Raw,Y,32592.942000823383,2.3323283922295968,6.99698517668879
14,Raw,Z,37173.55919308357,2.3562292107284764,7.068687632185429
14,Force,X,-0.00770472523672293,0.004335170806047188,0.013005512418141565
14,Force,Y,-0.00925041597365171,0.003449105545046988,0.010347316635140965
14,Force,Z,-0.006586752408398519,0.002684391494886809,0.008053174484660426
15,Raw,X,32816.05786743516,2.0138536634625654,6.041560990387696
15,Raw,Y,32469.594203375877,2.0807917598851313,6.242375279655394
15,Raw,Z,37436.62611774393,2.0111972358497168,6.03359170754915
15,Force,X,0.00470507204610951,0.004256415994658765,0.012769247983976294
15,Force,Y,-0.006384124166323589,0.0030030947115239986,0.009009284134571995
15,Force,Z,-0.0017672265129682998,0.0020659621064028385,0.006197886319208515
16,Raw,X,32304.76938657884,2.2026345288833604,6.607903586650082
16,Raw,Y,32431.321020996296,2.0657224610895213,6.197167383268564
16,Raw,Z,37656.48864553314,2.1880178529012655,6.5640535587037965
16,Force,X,0.0016546964182791273,0.003457866141694575,0.010373598425083725
16,Force,Y,-0.00949094425689584,0.002862308444487846,0.008586925333463537
16,Force,Z,-0.004355764182791272,0.0027409194591068303,0.008222758377320491
GLOBAL,Raw,X,32792.518830794565,2.087999998916171,6.263999996748513
GLOBAL,Raw,Y,32824.14119493619,2.1040828561555216,6.312248568466565
GLOBAL,Raw,Z,37354.315935570194,2.2657781607502105,6.797334482250632
GLOBAL,Force,X,-0.0025693367229312476,0.003731383213360505,0.011194149640081516
GLOBAL,Force,Y,-0.0031167778200905717,0.0036486740720762497,0.01094602221622875
GLOBAL,Force,Z,-0.0016451743412927147,0.002687280318357129,0.008061840955071387
